The_Last_Starfighter_(1984),Nick_Castle,Lance_Guest,Robert_Preston,Kay_E._Kuter,Dan_Mason,
Night_of_the_Comet_(1984),Thom_Eberhardt,Catherine_Mary_Stewart,Kelli_Maroney,Robert_Beltran,Sharon_Farrell,
Starman_(1984),John_Carpenter,Jeff_Bridges,Karen_Allen,Charles_Martin_Smith,Richard_Jaeckel,
D.A.R.Y.L._(1985),Simon_Wincer,Mary_Beth_Hurt,Michael_McKean,Kathryn_Walker,Colleen_Camp,
Enemy_Mine_(1985),Wolfgang_Petersen,Dennis_Quaid,Louis_Gossett,Brion_James,Richard_Marcus,
My_Science_Project_(1985),Jonathan_R._Betuel,John_Stockwell,Danielle_von_Zerneck,Fisher_Stevens,Raphael_Sbarge,
Real_Genius_(1985),Martha_Coolidge,Val_Kilmer,Gabriel_Jarret,Michelle_Meyrink,William_Atherton,
The_Return_of_the_Living_Dead_(1985),Dan_O'Bannon,Clu_Gulager,James_Karen,Don_Calfa,Thom_Mathews,
Critters_(1986),Stephen_Herek,Dee_Wallace,M._Emmet_Walsh,Billy_Green_Bush,Scott_Grimes,
Howard_the_Duck_(1986),Willard_Huyck,Lea_Thompson,Jeffrey_Jones,Tim_Robbins,Ed_Gale,
Maximum_Overdrive_(1986),Stephen_King,Emilio_Estevez,Pat_Hingle,Laura_Harrington,Yeardley_Smith,
Solarbabies_(1986),Alan_Johnson,Richard_Jordan,Jami_Gertz,Jason_Patric,Lukas_Haas,
SpaceCamp_(1986),Harry_Winer,Kate_Capshaw,Lea_Thompson,Kelly_Preston,Larry_B._Scott,
The_Transformers:_The_Movie_(1986),Nelson_Shin,Orson_Welles,Robert_Stack,Leonard_Nimoy,Norman_Alden,
*batteries_not_included_(1987),Matthew_Robbins,Hume_Cronyn,Jessica_Tandy,Frank_McRae,Elizabeth_Pe–a,
The_Hidden_(1987),Jack_Sholder,Kyle_MacLachlan,Michael_Nouri,Claudia_Christian,Clarence_Felder,
Masters_of_the_Universe_(1987),Gary_Goddard,Dolph_Lundgren,Frank_Langella,Meg_Foster,Billy_Barty,
The_Monster_Squad_(1987),Fred_Dekker,Andre_Gower,Robby_Kiger,Stephen_Macht,Duncan_Regehr,
Project_X_(1987),Jonathan_Kaplan,Matthew_Broderick,Helen_Hunt,Willie,Okko,
Alien_Nation_(1988),Graham_Baker,James_Caan,Mandy_Patinkin,Terence_Stamp,Kevyn_Major_Howard,
The_Blob_(1988),Chuck_Russell,Shawnee_Smith,Kevin_Dillon,Donovan_Leitch,Jeffrey_DeMunn,
Mac_and_Me_(1988),Stewart_Raffill,Christine_Ebersole,Jonathan_Ward,Tina_Caspary,Lauren_Stanley,
My_Stepmother_Is_an_Alien_(1988),Richard_Benjamin,Dan_Aykroyd,Kim_Basinger,Jon_Lovitz,Alyson_Hannigan,
Leviathan_(1989),George_P._Cosmatos,Peter_Weller,Richard_Crenna,Amanda_Pays,Daniel_Stern,
RoboCop_2_(1990),Irvin_Kershner,Peter_Weller,Belinda_Bauer,John_Glover,Mario_Machado,
Bill_&_Ted's_Bogus_Journey_(1991),Pete_Hewitt,Keanu_Reeves,Alex_Winter,William_Sadler,Joss_Ackland,
Suburban_Commando_(1991),Burt_Kennedy,Hulk_Hogan,Christopher_Lloyd,Shelley_Duvall,Larry_Miller,
Forever_Young_(1992),Steve_Miner,Mel_Gibson,Jamie_Lee_Curtis,Elijah_Wood,Isabel_Glasser,
Freejack_(1992),Geoff_Murphy,Emilio_Estevez,Mick_Jagger,Rene_Russo,Anthony_Hopkins,
Honey_I_Blew_Up_the_Kid_(1992),Randal_Kleiser,Rick_Moranis,Marcia_Strassman,Robert_Oliveri,Daniel_Shalikar,
Split_Second_(1992),Tony_Maylam,Rutger_Hauer,Kim_Cattrall,Alastair_Duncan,Michael_J._Pollard,
Batman:_Mask_of_the_Phantasm_(1993),Eric_Radomski,Bruce_W._Timm,Kevin_Conroy,Dana_Delany,Hart_Bochner,Stacy_Keach
RoboCop_3_(1993),Fred_Dekker,Nancy_Allen,Robert_John_Burke,Mario_Machado,Remy_Ryan,
Teenage_Mutant_Ninja_Turtles_III_(1993),Stuart_Gillard,Elias_Koteas,Paige_Turco,Stuart_Wilson,Sab_Shimono,
Frankenstein_(1994),Kenneth_Branagh,Robert_De_Niro,Kenneth_Branagh,Helena_Bonham_Carter,Tom_Hulce,
No_Escape_(1994),Martin_Campbell,Ray_Liotta,Lance_Henriksen,Stuart_Wilson,Kevin_Dillon,
Street_Fighter_(1994),Steven_E._de_Souza,Jean-Claude_Van_Damme,Raul_Julia,Ming-Na_Wen,Damian_Chapa,
Congo_(1995),Frank_Marshall,Laura_Linney,Tim_Curry,Dylan_Walsh,Ernie_Hudson,
Mighty_Morphin_Power_Rangers:_The_Movie_(1995),Bryan_Spicer,Karan_Ashley,Johnny_Yong_Bosch,Steve_Cardenas,Jason_David_Frank,
Powder_(1995),Victor_Salva,Mary_Steenburgen,Sean_Patrick_Flanery,Lance_Henriksen,Jeff_Goldblum,
Species_(1995),Roger_Donaldson,Natasha_Henstridge,Michael_Madsen,Ben_Kingsley,Alfred_Molina,
Strange_Days_(1995),Kathryn_Bigelow,Ralph_Fiennes,Angela_Bassett,Juliette_Lewis,Tom_Sizemore,
Chain_Reaction_(1996),Andrew_Davis,Keanu_Reeves,Morgan_Freeman,Rachel_Weisz,Fred_Ward,
Eraser_(1996),Charles_Russell,Arnold_Schwarzenegger,Vanessa_Williams,James_Caan,James_Coburn,
The_Island_of_Dr._Moreau_(1996),John_Frankenheimer,David_Thewlis,Marlon_Brando,Val_Kilmer,Fairuza_Balk,
Multiplicity_(1996),Harold_Ramis,Michael_Keaton,Andie_MacDowell,Zack_Duhame,Katie_Schlossberg,
The_Nutty_Professor_(1996),Tom_Shadyac,Eddie_Murphy,Jada_Pinkett_Smith,James_Coburn,Larry_Miller,
Phenomenon_(1996),Jon_Turteltaub,John_Travolta,Kyra_Sedgwick,Forest_Whitaker,Robert_Duvall,
Flubber_(1997),Les_Mayfield,Robin_Williams,Marcia_Gay_Harden,Christopher_McDonald,Ted_Levine,
Mimic_(1997),Guillermo_del_Toro,Mira_Sorvino,Jeremy_Northam,Alexander_Goodwin,Giancarlo_Giannini,
The_Postman_(1997),Kevin_Costner,Kevin_Costner,Will_Patton,Larenz_Tate,Olivia_Williams,
RocketMan_(1997),Stuart_Gillard,Harland_Williams,Jessica_Lundy,William_Sadler,Jeffrey_DeMunn,
Steel_(1997),Kenneth_Johnson,Shaquille_O'Neal,Annabeth_Gish,Judd_Nelson,Richard_Roundtree,
Turbo:_A_Power_Rangers_Movie_(1997),Shuki_Levy,David_Winning,Jason_David_Frank,Catherine_Sutherland,Hilary_Shepard,Jon_Simanton
Volcano_(1997),Mick_Jackson,Tommy_Lee_Jones,Anne_Heche,Gaby_Hoffmann,Don_Cheadle,
The_Avengers_(1998),Jeremiah_Chechik,Ralph_Fiennes,Uma_Thurman,Sean_Connery,Patrick_Macnee,
Disturbing_Behavior_(1998),David_Nutter,James_Marsden,Katie_Holmes,Nick_Stahl,Tobias_Mehler,
Lost_in_Space_(1998),Stephen_Hopkins,Gary_Oldman,William_Hurt,Matt_LeBlanc,Mimi_Rogers,
Mighty_Joe_Young_(1998),Ron_Underwood,Bill_Paxton,Charlize_Theron,Rade_Serbedzija,Peter_Firth,
Phantoms_(1998),Joe_Chappelle,Peter_O'Toole,Rose_McGowan,Joanna_Going,Liev_Schreiber,
Small_Soldiers_(1998),Joe_Dante,Kirsten_Dunst,Gregory_Smith,David_Cross,Jay_Mohr,
Soldier_(1998),Paul_Anderson,Kurt_Russell,Jason_Scott_Lee,Jason_Isaacs,Connie_Nielsen,
Baby_Geniuses_(1999),Bob_Clark,Kathleen_Turner,Christopher_Lloyd,Kim_Cattrall,Peter_MacNicol,
Bicentennial_Man_(1999),Chris_Columbus,Robin_Williams,Embeth_Davidtz,Sam_Neill,Oliver_Platt,
Blast_from_the_Past_(1999),Hugh_Wilson,Brendan_Fraser,Alicia_Silverstone,Christopher_Walken,Sissy_Spacek,
Inspector_Gadget_(1999),David_Kellogg,Matthew_Broderick,Rupert_Everett,Joely_Fisher,Michelle_Trachtenberg,
Lake_Placid_(1999),Steve_Miner,Bridget_Fonda,Bill_Pullman,Oliver_Platt,Brendan_Gleeson,
Muppets_from_Space_(1999),Tim_Hill,Dave_Goelz,Steve_Whitmire,Bill_Barretta,Jerry_Nelson,
My_Favorite_Martian_(1999),Donald_Petrie,Christopher_Lloyd,Jeff_Daniels,Elizabeth_Hurley,Daryl_Hannah,
